Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1775567793.553	   604.059	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_000146045.2/chromosomes.fna --species=saccharomyces_cerevisiae_S288C --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_000146045.2.gff3
13	:	1775568398.150	  2227.315	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_000240135.3/chromosomes.fna --species=fusarium_graminearum --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_000240135.3.gff3
14	:	1775570625.990	   871.652	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_000835755.1/chromosomes.fna --species=cryptococcus_neoformans_gattii --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_000835755.1.gff3
15	:	1775571498.155	  2355.012	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_009017415.1/chromosomes.fna --species=aspergillus_oryzae --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_009017415.1.gff3
16	:	1775573853.714	  8100.000	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_021901695.1/chromosomes.fna --species=ustilago_maydis --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_021901695.1.gff3
17	:	1775581954.246	 12542.146	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_026210795.1/chromosomes.fna --species=rhizopus_oryzae --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_026210795.1.gff3
18	:	1775594496.914	  2025.741	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data augustus augustus /data/benchmarking_dataset/GCF_033473495.1/chromosomes.fna --species=botrytis_cinerea --gff3=on > /data/lisvad/geneml/benchmarking_results/augustus/GCF_033473495.1.gff3
19	:	1775596523.163	  8890.765	0	124	0	0	mkdir -p benchmarking_results/braker3/GCA_964035595.1; chmod 777 benchmarking_results/braker3/GCA_964035595.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCA_964035595.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCA_964035595.1 --threads=8 --fungus --gff3
20	:	1775605414.488	 11406.013	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_000143535.2; chmod 777 benchmarking_results/braker3/GCF_000143535.2; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_000143535.2/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_000143535.2 --threads=8 --fungus --gff3
21	:	1775616821.050	  4165.187	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_000146045.2; chmod 777 benchmarking_results/braker3/GCF_000146045.2; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_000146045.2/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_000146045.2 --threads=8 --fungus --gff3
22	:	1775620986.766	 10418.052	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_000240135.3; chmod 777 benchmarking_results/braker3/GCF_000240135.3; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_000240135.3/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_000240135.3 --threads=8 --fungus --gff3
